Connecticut December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194405,1.61,-2.32
194406,3.99,0.29
194407,2.21,-1.70
194408,2.25,-1.98
194409,7.49,3.50
194410,2.12,-1.55
194411,7.00,2.88
194412,3.36,-0.64
194501,3.24,-0.49
194502,3.69,0.41
194503,2.42,-1.77
194504,4.81,0.68
194505,6.12,2.19
194506,4.89,1.19
194507,5.23,1.32
194508,3.90,-0.33
194509,2.95,-1.04
194510,2.41,-1.26
194511,5.65,1.53
194512,5.63,1.63
194601,2.66,-1.07
194602,2.78,-0.50
194603,1.94,-2.25
194604,2.26,-1.87
194605,6.11,2.18
194606,3.31,-0.39
194607,4.41,0.50
194608,6.39,2.16
194609,3.80,-0.19
194610,1.26,-2.41
194611,1.43,-2.69
194612,2.81,-1.19
194701,2.81,-0.92
194702,2.32,-0.96
194703,3.14,-1.05
194704,4.74,0.61
194705,4.40,0.47
194706,3.91,0.21
194707,4.21,0.30
194708,3.32,-0.91
194709,3.45,-0.54
194710,2.23,-1.44
194711,6.64,2.52
194712,2.86,-1.14
194801,4.11,0.38
194802,2.02,-1.26
194803,4.37,0.18
194804,4.23,0.10
194805,6.89,2.96
194806,5.04,1.34
194807,3.39,-0.52
194808,2.37,-1.86
194809,0.62,-3.37
194810,2.32,-1.35
194811,5.69,1.57
194812,5.79,1.79
194901,5.88,2.15
194902,3.02,-0.26
194903,2.73,-1.46
194904,3.86,-0.27
194905,5.23,1.30
194906,0.51,-3.19
194907,2.82,-1.09
194908,3.26,-0.97
194909,3.80,-0.19
194910,2.18,-1.49
194911,2.21,-1.91
194912,3.43,-0.57
195001,3.76,0.03
195002,3.80,0.52
195003,3.17,-1.02
195004,3.02,-1.11
195005,4.23,0.30
195006,3.93,0.23
195007,3.56,-0.35
195008,5.03,0.80
195009,1.51,-2.48
195010,1.97,-1.70
195011,5.75,1.63
195012,4.52,0.52
195101,3.60,-0.13
195102,4.94,1.66
195103,6.09,1.90
195104,3.45,-0.68
195105,4.10,0.17
195106,3.16,-0.54
195107,3.00,-0.91
195108,3.76,-0.47
195109,2.23,-1.76
195110,4.22,0.55
195111,7.74,3.62
195112,5.34,1.34
195201,5.29,1.56
